sample_no,site_no,Depth_m,collect_date,collect_time,leaf,season,ice,temp_C_Hanna,cond_uScm_Hanna,TDS_hanna,pH_Hanna,SecchiDepth_m,DOC_fluor,Turbidity_fluor,Temp_C_DOProbe,DO_mgpL,DO_Sat_Percent,Depth_at_Slab,IceThickness_cm,IceCover_percent,Comment,
1,MOHK_D10,0,2026-01-07,10:24,no,winter,yes,0.4,78,49,7.61,N/A,,,2,11.98,91.6,,17,100%,GSS,
1,MOHK_D10,1,2026-01-07,10:24,no,winter,yes,2.6,134,72,8.05,,,,2,11.43,87.3,,,,max YSI depth(m): 12,
1,MOHK_D10,2,2026-01-07,10:24,no,winter,yes,,,,,,,,2.1,11.03,84.5,,,,,
1,MOHK_D10,3,2026-01-07,10:24,no,winter,yes,,,,,,,,2,11.15,85.2,,,,,
1,MOHK_D10,4,2026-01-07,10:24,no,winter,yes,,,,,,,,2,10.83,82.8,,,,,
1,MOHK_D10,5,2026-01-07,10:24,no,winter,yes,,,,,,,,2.1,10.59,81,,,,,
1,MOHK_D10,6,2026-01-07,10:24,no,winter,yes,N/A,N/A,N/A,N/A,,,,2.1,10.45,80,,,,,
1,MOHK_D10,7,2026-01-07,10:24,no,winter,yes,,,,,,,,2.1,10.28,78.8,,,,,
1,MOHK_D10,8,2026-01-07,10:24,no,winter,yes,,,,,,,,2.2,10.14,77.9,,,,,
1,MOHK_D10,9,2026-01-07,10:24,no,winter,yes,,,,,,,,2.3,10.02,77.1,,,,,
1,MOHK_D10,10,2026-01-07,10:24,no,winter,yes,,,,,,,,2.4,9.85,76,,,,,
1,MOHK_D10,11,2026-01-07,10:24,no,winter,yes,N/A,N/A,N/A,N/A,,,,2.5,9.45,73.2,,,,,
1,MOHK_D10,12,2026-01-07,10:24,no,winter,yes,,,,,,,,2.6,7.75,60.2,,,,,
2,MOHK_D10,0,2026-01-12,10:00,no,winter,yes,1.4,85,49,7.94,N/A,,,2.5,11.54,88.6,,15.9,100%,GSS,
2,MOHK_D10,1,2026-01-12,10:00,no,winter,yes,3.2,100,59,8.26,,,,2.4,11.45,87.7,,,,max YSI depth(m): 12,
2,MOHK_D10,2,2026-01-12,10:00,no,winter,yes,,,,,,,,2.3,11.26,86,,,,,
2,MOHK_D10,3,2026-01-12,10:00,no,winter,yes,,,,,,,,2.3,11.14,85,,,,,
2,MOHK_D10,4,2026-01-12,10:00,no,winter,yes,,,,,,,,2.3,10.38,79.2,,,,,
2,MOHK_D10,5,2026-01-12,10:00,no,winter,yes,,,,,,,,2.3,10.61,80.9,,,,,
2,MOHK_D10,6,2026-01-12,10:00,no,winter,yes,N/A,N/A,N/A,N/A,,,,2.3,10.79,82.3,,,,,
2,MOHK_D10,7,2026-01-12,10:00,no,winter,yes,,,,,,,,2.3,10.82,82.5,,,,,
