Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2025-04-02,6.6,11.39,95.8,0,MHK
2025-04-02,6.3,11.42,95.3,1,MHK
2025-04-02,6.1,11.46,95.1,2,MHK
2025-04-02,6,11.45,94.7,3,MHK
2025-04-02,5.9,11.46,94.6,4,MHK
2025-04-02,5.8,11.37,93.6,5,MHK
2025-04-02,5.7,11.29,92.6,6,MHK
2025-04-02,5.6,11.25,92.2,7,MHK
2025-04-02,5.6,11.22,91.8,8,MHK
2025-04-02,5.4,11.09,90.3,9,MHK
2025-04-02,5.1,10.77,87,10,MHK
2025-04-02,5,10.58,85.2,11,MHK
2025-04-02,4.9,10.44,84,12,MHK
