Date,temp_degC_probe,doConcentration_mgpL_probe,doSaturation_percent_probe,Depth_m,lakeID
2025-01-22,0,15.85,111.5,0,MHK
2025-01-22,1.5,12.17,89.1,1,MHK
2025-01-22,1.6,12.09,88.7,2,MHK
2025-01-22,1.6,12.05,88.5,3,MHK
2025-01-22,1.6,11.96,87.9,4,MHK
2025-01-22,1.6,11.74,86.3,5,MHK
2025-01-22,1.7,11.73,86.4,6,MHK
2025-01-22,1.8,11.56,85.4,7,MHK
2025-01-22,1.9,11.45,84.7,8,MHK
2025-01-22,2.2,10.59,79.1,9,MHK
2025-01-22,2.7,10.12,76.6,10,MHK
2025-01-22,3,9.62,73.4,11,MHK
2025-01-22,3.2,8.87,68.1,12,MHK
